Job#   Actual_Paved_Area   Pave_Cost   Actual_F_Length   Fence_Cost     Taxes    Total_Cost
7100              600.00    11100.00            120.00      3240.00   1868.75      16243.75
7102                2.36       55.50              0.00         0.00     11.77        102.26
7104              157.08     2923.00             51.42      1472.00    575.90       5005.90
7105               70.16     1313.50              0.00         0.00    175.31       1523.80
7107              197.04     3663.00              0.00         0.00    480.74       4178.74
7108             2400.00    44400.00              0.00         0.00   5776.55      50211.55
7109               89.92     1665.00             38.21      1134.00    368.42       3202.42
7110                8.39      166.50              0.00         0.00     26.20        227.69
7111                3.90       74.00              9.00       354.00     60.19        523.19
7112               33.54      629.00             23.60       744.00    183.04       1591.04
