year    month   day             Temperature
    2018       1       1        -2.50867
    2018       1       2        -10.7567
    2018       1       3        -10.2107
    2018       1       4          -13.99
    2018       1       5        -18.0073
    2018       1       6        -17.7207
    2018       1       7        -11.7887
    2018       1       8        -0.14667
    2018       1       9        -2.28067
    2018       1      10         1.28467
    2018       1      11         9.44267
    2018       1      12        -2.08067
    2018       1      13         -13.134
    2018       1      14        -8.59933
    2018       1      15        -10.1313
    2018       1      16        -5.30933
    2018       1      17          -7.954
    2018       1      18        -7.71933
    2018       1      19           -2.15
    2018       1      20         3.24533
    2018       1      21           -0.78
    2018       1      22           1.452
    2018       1      23         2.07667
    2018       1      24        -8.08667
    2018       1      25        -6.54933
    2018       1      26           1.094
    2018       1      27           5.184
    2018       1      28         2.75133
    2018       1      29          -3.758
    2018       1      30         -11.848
    2018       1      31          -4.156
    2018       2       1         0.52867
    2018       2       2        -12.7113
    2018       2       3        -7.68667
    2018       2       4           0.014
    2018       2       5        -10.9093
    2018       2       6           -7.61
    2018       2       7        -7.36133
    2018       2       8        -8.98733
    2018       2       9           -8.11
    2018       2      10        -5.34533
    2018       2      11           -2.42
    2018       2      12        -5.23533
    2018       2      13        -5.24133
    2018       2      14         1.71667
    2018       2      15         5.37933
    2018       2      16        -2.82733
    2018       2      17        -1.76267
    2018       2      18           1.336
    2018       2      19           3.462
    2018       2      20          11.312
    2018       2      21        -0.53667
    2018       2      22        -1.33133
    2018       2      23         1.58133
    2018       2      24         1.06533
    2018       2      25         8.16133
    2018       2      26         3.63133
    2018       2      27         9.84667
    2018       2      28        12.19867
    2018       3       1         1.33333
    2018       3       2           1.974
    2018       3       3         1.41533
    2018       3       4            0.54
    2018       3       5         2.49733
    2018       3       6        -1.29867
    2018       3       7           1.002
    2018       3       8        -3.38267
    2018       3       9         0.00533
    2018       3      10          -1.134
    2018       3      11        -1.69333
    2018       3      12        -2.28933
    2018       3      13        -2.69667
    2018       3      14        -3.10733
    2018       3      15        -0.45867
    2018       3      16        -6.28467
    2018       3      17         1.01933
    2018       3      18         4.76667
    2018       3      19        -2.06733
    2018       3      20        -0.32267
    2018       3      21         0.58067
    2018       3      22         0.14933
    2018       3      23         0.50267
    2018       3      24           0.228
    2018       3      25        -0.73067
    2018       3      26           6.102
    2018       3      27         2.31733
    2018       3      28         3.68533
    2018       3      29         4.35067
    2018       3      30         1.94667
    2018       3      31         5.56667
    2018       4       1          -1.528
    2018       4       2         1.28933
    2018       4       3           3.888
    2018       4       4        -0.90133
    2018       4       5        -1.40467
    2018       4       6         0.33533
    2018       4       7          -2.164
    2018       4       8           -2.87
    2018       4       9         1.18733
    2018       4      10         2.80667
    2018       4      11         1.97733
    2018       4      12            5.03
    2018       4      13         2.78867
    2018       4      14        -0.83533
    2018       4      15        -1.84067
    2018       4      16         2.39467
    2018       4      17        -2.50733
    2018       4      18           1.652
    2018       4      19           0.932
    2018       4      20           2.888
    2018       4      21           9.102
    2018       4      22        12.71067
    2018       4      23        15.98734
    2018       4      24          14.024
    2018       4      25          10.576
    2018       4      26         9.41933
    2018       4      27          14.922
    2018       4      28         3.52533
    2018       4      29         6.19267
    2018       4      30        13.78333
    2018       5       1          23.376
    2018       5       2        23.96734
    2018       5       3        24.76133
    2018       5       4        24.76133
    2018       5       5        18.75333
    2018       5       6        18.65134
    2018       5       7        14.92133
    2018       5       8         -9999.9
